Puesto,Empresa,Detalles,Enlace
Product Owner / Data analyst,Michael Page,17/03/2026 |  | Zaragoza (Presencial) | Analista,https://www.tecnoempleo.com/product-owner-data-analyst-michael-page/sql-python/rf-b2231ed612dc9376b04a
IA Engineer,Page Personnel,17/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning | Contrato temporal,https://www.tecnoempleo.com/ia-engineer-page-personnel/python-openai/rf-76881378c22353131b49
IT & Data Audit & Assurance,Deloitte,17/03/2026 |  | Madrid (Híbrido) | Analista,https://www.tecnoempleo.com/it-data-audit-assurance-deloitte/python-powerapps/rf-98b316a2122a4309b84f
Consultor SAP - BI y Analítica,Michael Page,17/03/2026 |  | 100% remoto | Consultor | 33.000€ - 39.000€ b/a,https://www.tecnoempleo.com/consultor-sap-bi-analitica-michael-page/python/rf-2b4111f5e299a3880242
Técnico/a It Administración,Randstad ES,17/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/tecnico-it-administracion-randstad-es/python-java/rf-0af8100342db63d31240
Machine Learning Scientist,Amazon,17/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/machine-learning-scientist-amazon/python-java/rf-697d12899265a39ecf44
Senior Data Analyst,Santander,17/03/2026 |  | Madrid | Analista,https://www.tecnoempleo.com/senior-data-analyst-santander/google-analytics-adobe-analytics/rf-4aa71136929223186343
Senior Data Scientist (MLOps),EY,17/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/senior-data-scientist-mlops-ey/databricks-python/rf-f478111b82359368934e
Desarrollador/a Java,Deloitte,17/03/2026 |  | Sevilla (Híbrido) y otras | Programador,https://www.tecnoempleo.com/desarrollador-java-deloitte/python-nodejs/rf-2a3a1d2d220a739c7b4c
Senior AI Engineer (Posible Trabajo remoto),Sopra Steria,17/03/2026 |  | Barcelona (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ai-engineer-posible-trabajo-remoto-sopra-st/python-azure-ai/rf-31b01ab142e9b385234e
Desarrollador AWS,Deloitte,17/03/2026 |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/desarrollador-aws-deloitte/python-java/rf-b93b16f792c193479746
DevOps Software Architect,Airbus,17/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/devops-software-architect-airbus/kubernetes-docker/rf-e40113ad1271d3e8af4d
SysOps,Page Personnel,17/03/2026 |  | Madrid (Híbrido) | Técnico de Sistemas | 48.000€ - 60.000€ b/a,https://www.tecnoempleo.com/sysops-page-personnel/linux-windows/rf-0a9715a032b513e9fc4b
AI Engineer,Sopra Steria,17/03/2026 |  | Barcelona | Programador,https://www.tecnoempleo.com/ai-engineer-sopra-steria/python-ia-generativa/rf-86301961b2328304c843
Senior AI Platform Engineer,AstraZeneca,16/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ai-platform-engineer-astrazeneca/inteligencia-artificial-machine-le/rf-742a1a35820953f81b42
Senior AI Engineer,EPAM,16/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ai-engineer-epam/python-llm/rf-e84f1e25129f63b2de4a
Senior Palantir Data Engineer - Frontend,EPAM,16/03/2026 |  | 100% remoto | Big Data,https://www.tecnoempleo.com/senior-palantir-data-engineer-frontend-epam/python-typescript/rf-fe3e193ad2ee2389a847
Ingeniero/a de desarrollo electrónico,GMV,16/03/2026 |  | Madrid (Híbrido) | Electrónica,https://www.tecnoempleo.com/ingeniero-desarrollo-electronico-gmv/c-python/rf-c8511973a26673ae2843
Senior ML/AI Engineer,WIZELINE,16/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ml-ai-engineer-wizeline/python-llm/rf-0ffa11db4205b3abe44f
Software Lead,WayOps,16/03/2026 |  | Madrid | Arquitecto TIC,https://www.tecnoempleo.com/software-lead-wayops/python-fastapi/rf-79bc1508f2d453d68b45
Computer Vision Engineer (IA),Page Personnel,16/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/computer-vision-engineer-ia-page-personnel/python-pytorch/rf-20ef182b428d4356ef4b
Big Data IA Developer Junior,ZYLK,16/03/2026 |  | Bizkaia (Presencial) | Analista Programador | Contrato prácticas,https://www.tecnoempleo.com/big-data-ia-developer-junior-zylk/java-python/rf-b9531e8b82f203d1584c
Data Engineer - Knowledge Graphs,Cala AI,16/03/2026 |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/data-engineer-knowledge-graphs-cala-ai/etl-neo4j/rf-9da610964269031a7945
Software Engineer,Supersonik,16/03/2026 |  | Barcelona (Presencial) | DevOps,https://www.tecnoempleo.com/software-engineer-supersonik/async-aws/rf-306915d4a2a6f3748e4a
Jefe de Proyecto Analítica Clientes,Cajamar Tecnología,16/03/2026 |  | Almería (Híbrido) y otras | Jefe de Proyecto,https://www.tecnoempleo.com/jefe-proyecto-analitica-clientes-cajamar-tecnologi/devops-mlops/rf-cb601c382264137f514a
Desarrollador/a Fulstack y Consultor de IA,Aubay,13/03/2026 |  | Barcelona (Híbrido) | Consultor,https://www.tecnoempleo.com/desarrollador-fulstack-consultor-ia-aubay/python-llm/rf-069f1f2d127df3703a4a
Data Quality Engineer,Randstad ES,13/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-quality-engineer-randstad-es/python-sql/rf-2fd61585124a73077842
Data Engineer,Randstad ES,13/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-engineer-randstad-es/aws-snaplogic/rf-a53d12cb9253b3d21441
Mid Software Engineer - Operations Domain,Factorial,13/03/2026 |  | Barcelona | Programador,https://www.tecnoempleo.com/mid-software-engineer-operations-domain-factorial/ruby-on-rails-react/rf-1e4518f582e0a3bbd648
Ingeniero QA (Automatización),Arelance,13/03/2026 |  | 100% remoto | Tester/QA | 33.000€ - 36.000€ b/a,https://www.tecnoempleo.com/ingeniero-qa-automatizacion-arelance/python-pytest/rf-243d1197320283155443
QA / Tester de Sistemas Críticos,PANEL Sistemas Informáticos,13/03/2026 |  | Madrid (Híbrido) | Tester/QA,https://www.tecnoempleo.com/qa-tester-sistemas-criticos-panel-sistemas-informa/python-c/rf-04d5169c720b43289e46
Ingeniero/a DevOps,GMV,13/03/2026 |  | Madrid (Híbrido) | DevOps,https://www.tecnoempleo.com/ingeniero-devops-gmv/ci-cd-docker/rf-25ee18c6022da30b1d4e
Arquitecto/a de Datos Senior AWS (con IA),Krell Consulting & Training,13/03/2026 |  | 100% remoto | Arquitecto TIC,https://www.tecnoempleo.com/arquitecto-datos-senior-aws-con-ia-krell-consultin/python-sql/rf-281f1f37f284538cbc44
Ingeniero/a de software embarcado,GMV,13/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/ingeniero-software-embarcado-gmv/c-python/rf-5ae4100982509388204f
Prácticas: Ingeniería de software,GMV,13/03/2026 |  | Madrid | Programador | Jornada media jornada | Contrato prácticas,https://www.tecnoempleo.com/practicas-ingenieria-software-gmv/java-c/rf-bcbe1518e26523dd534c
Desarrollador/a de algoritmos,GMV,13/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/desarrollador-algoritmos-gmv/c-c/rf-90821d8dc24083bd014c
Lead AI Engineer,GFR Technologies SE,13/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/lead-ai-engineer-gfr-technologies-se/python-generative-ai/rf-c0fc1194e2c103c2a247
Pentester senior,GMV,13/03/2026 |  | Madrid (Híbrido) | Ciberseguridad,https://www.tecnoempleo.com/pentester-senior-gmv/pentesting-waf/rf-28e01911b29603eef34a
Ingeniero/a de I+D,GMV,13/03/2026 |  | Madrid (Híbrido) | Arquitecto TIC,https://www.tecnoempleo.com/ingeniero-i-d-gmv/iomt-python/rf-ae611e7c7260235c8241
Ingeniero/a Software Flight Dynamics Junior,GMV,13/03/2026 |  | Madrid (Híbrido) | Ingenieros/Industria,https://www.tecnoempleo.com/ingeniero-software-flight-dynamics-junior-gmv/python-fortran/rf-ad631841325933388b47
NAVCAST Software Systems Engineer,Michael Page,13/03/2026 |  | 100% remoto | Programador | 45.000€ - 60.000€ b/a,https://www.tecnoempleo.com/navcast-software-systems-engineer-michael-page/python-bash/rf-4da916336248837e344c
API Integration Engineer,Digital Talent Agency,13/03/2026 |  | Madrid (Híbrido) | Programador,https://www.tecnoempleo.com/api-integration-engineer-digital-talent-agency/http-json/rf-800114cc427c8330d04b
Engineer DATA,Krell Consulting & Training,13/03/2026 |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/engineer-data-krell-consulting-training/python/rf-4d8c181ea20593dbaa41
Ingeniero/a DevOps Galileo SCCF,GMV,13/03/2026 |  | Madrid y otras | DevOps,https://www.tecnoempleo.com/ingeniero-devops-galileo-sccf-gmv/linux-mysql/rf-1e3f1f9d82e163539242
Software Development Engineer - 2026,Amazon,13/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/software-development-engineer-2026-amazon/java-python/rf-2356148252d813ae754b
Desarrollador/a Full Stack Java,CIB labs,12/03/2026 |  | 100% remoto | Analista Programador,https://www.tecnoempleo.com/desarrollador-full-stack-java-cib-labs/bootstrap-html5/rf-e4b91112e2e1a304c34c
Ingeniero/a de software embebido,GMV,12/03/2026 |  | Madrid (Híbrido) | Electrónica,https://www.tecnoempleo.com/ingeniero-software-embebido-gmv/c-c/rf-fc5c1e9b32f2e38fc04e
Lead Java/Scala Developer,EPAM,12/03/2026 |  | Málaga | Programador,https://www.tecnoempleo.com/lead-java-scala-developer-epam/python-terraform/rf-b754185f52afa3701b41
AI Engineer (Cloud Technologies),Deloitte,12/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/ai-engineer-cloud-technologies-deloitte/python-bigquery/rf-fe441eda726ee3a71049
Ingeniero/a aeroespacial junior,GMV,12/03/2026 |  | Madrid (Híbrido) | Ingenieros/Industria,https://www.tecnoempleo.com/ingeniero-aeroespacial-junior-gmv/matlab-c/rf-b7361cdce2a9138fe94d
DevOps Engineer,Krell Consulting & Training,12/03/2026 |  | Barcelona (Híbrido) | DevOps,https://www.tecnoempleo.com/devops-engineer-krell-consulting-training/iac-aws/rf-0ce11586d2d4d35a1d49
Engineer Cloud AWS Cloud Security,Grupo NS,12/03/2026 |  | 100% remoto | Arquitecto TIC | 39.000€ - 48.000€ b/a,https://www.tecnoempleo.com/engineer-cloud-aws-cloud-security-grupo-ns/python-ci-cd/rf-418d10fdd2d173a2ee45
Principal ML Ops Engineer,EPAM,12/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/principal-ml-ops-engineer-epam/python-airflow/rf-65a7151eb27dc3380349
Senior AI Platform Backend Engineer (LLM),EPAM,12/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/senior-ai-platform-backend-engineer-llm-epam/python-fastapi/rf-0de3106832ba13740a48
Senior Data Engineer - Palantir Foundry,EPAM,12/03/2026 |  | Málaga | Programador,https://www.tecnoempleo.com/senior-data-engineer-palantir-foundry-epam/palantir-foundry-pyspark/rf-f07f10c762ebd3b3fe4d
Desarrollador/a Firmware,HAYS,12/03/2026 |  | Bizkaia (Híbrido) | Electrónica,https://www.tecnoempleo.com/desarrollador-firmware-hays/c-c/rf-446519587253d3d21f42
Programador SQL,HAYS,12/03/2026 |  | Bizkaia | Programador | 39.000€ - 45.000€ b/a,https://www.tecnoempleo.com/programador-sql-hays/python-net/rf-bd151905c2be3313d441
Data Scientist MID,CMV Consultores,11/03/2026 |  | Barcelona (Híbrido) | Big Data | 33.000€ - 39.000€ b/a,https://www.tecnoempleo.com/data-scientist-mid-cmv-consultores/python-pandas/rf-86511707b2d7a3b7a44b
Senior Model Validation Quantitative,Julius Baer,11/03/2026 |  | Madrid | Analista Programador,https://www.tecnoempleo.com/senior-model-validation-quantitative-julius-baer/python-vba/rf-12ab121322c3b3c50040
Cloud Native Application Developer,Deloitte,11/03/2026 |  | Madrid | Arquitecto TIC,https://www.tecnoempleo.com/cloud-native-application-developer-deloitte/aws-python/rf-a9871d5bf2ff730f2d44
Desarrollador Senior en Spark,Deloitte,11/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/desarrollador-senior-en-spark-deloitte/pyspark-scala/rf-296413b38239f35b1c47
Data Scientist,HAYS,11/03/2026 |  | 100% remoto | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/data-scientist-hays/python-spark/rf-ce1e11c6221803ba624a
"Data Engineer Internship - Esp, Amazon University",Amazon,11/03/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-engineer-internship-esp-amazon-university-ama/java-python/rf-13621676c2a7d3833547
Especialista IA,Michael Page,11/03/2026 |  | Sevilla | Inteligencia Artificial/Machine Learning | 33.000€ - 45.000€ b/a,https://www.tecnoempleo.com/especialista-ia-michael-page/inteligencia-artificial-python/rf-100e1d4932b013363c44
IT&Data Audit&Assurance | Septiembre 2026,Deloitte,11/03/2026 |  | A Coruña | Ciberseguridad,https://www.tecnoempleo.com/it-data-audit-assurance-septiembre-2026-deloitte/python-powerapps/rf-36c211ef1208d32f7a45
IT&Data Audit&Assurance,Deloitte,11/03/2026 |  | Valencia | Consultor,https://www.tecnoempleo.com/it-data-audit-assurance-deloitte/python-powerapps/rf-8a3214a36208930ff749
Ingeniero/a Laboratorio SW,GMV,11/03/2026 |  | Madrid | Ingenieros/Industria,https://www.tecnoempleo.com/ingeniero-laboratorio-sw-gmv/python-ci-cd/rf-c6b7155502f8a3848044
Ingeniero/a Junior de Operaciones,GMV,11/03/2026 |  | Pontevedra | Ingenieros/Industria,https://www.tecnoempleo.com/ingeniero-junior-operaciones-gmv/stk-python/rf-5e421001d211a3a7064e
Ingeniero/a de Datos Senior,GMV,11/03/2026 |  | Madrid (Híbrido) y otras | Big Data,https://www.tecnoempleo.com/ingeniero-datos-senior-gmv/big-data-cloudera/rf-2a641892e260b309ec4a
DevOPS Engineer - Cyber-Training Platform,Airbus,11/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/devops-engineer-cyber-training-platform-airbus/linux-windows/rf-57501435024533641e4c
AI Product Engineer - Operations Domain,Factorial,11/03/2026 |  | Barcelona (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/ai-product-engineer-operations-domain-factorial/python/rf-b5d71b60d2c7b35e8548
Desarrollador /a Ia Google Adk,Randstad ES,11/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/desarrollador-ia-google-adk-randstad-es/google-adk-dialogflow/rf-f3be18bd22d963f3d746
Payload operations engineer,Page Personnel,11/03/2026 |  | Barcelona | Ingenieros/Industria,https://www.tecnoempleo.com/payload-operations-engineer-page-personnel/git-jira/rf-e09217c6c28b038f544a
Ingeniero/a automatizaciones cloud,GMV,11/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/ingeniero-automatizaciones-cloud-gmv/aws-terraform/rf-469718fc52f6e3ae5945
Desarrollador Senior en Spark,Deloitte,10/03/2026 |  | Barcelona (Híbrido) | Analista Programador,https://www.tecnoempleo.com/desarrollador-senior-en-spark-deloitte/pyspark-scala/rf-0cf71903a2a8a3451242
Ingeniero/a DevOps Galileo SCCF,GMV,10/03/2026 |  | Madrid (Híbrido) y otras | DevOps,https://www.tecnoempleo.com/ingeniero-devops-galileo-sccf-gmv/kubernetes-helm/rf-9bc41c5822f5e3b70d46
DevOps Engineer,GFR Technologies SE,10/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/devops-engineer-gfr-technologies-se/python-go/rf-e1e9195492b0f351db49
Cyber Incident Response Manager,FeverUp,10/03/2026 |  | Madrid | Ciberseguridad,https://www.tecnoempleo.com/cyber-incident-response-manager-feverup/soar-aws/rf-323211b1329d63da8d43
Data Engineer,Sopra Steria,10/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-engineer-sopra-steria/python-pyspark/rf-3090197b520de38f1d41
Data Engineer Consultant,Deloitte,10/03/2026 |  | Barcelona (Híbrido) | Analista,https://www.tecnoempleo.com/data-engineer-consultant-deloitte/azure-data-factory-azure-data-lake-stora/rf-9f6a1e3c82e0336fac4e
RWE Data Analyst Expert,Sanofi,09/03/2026 |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/rwe-data-analyst-expert-sanofi/qlik-tableau/rf-e4f31ef262c0236d5742
Data Scientist Analyst for Supply Chain,Accenture,09/03/2026 |  | Barcelona y otras | Big Data,https://www.tecnoempleo.com/data-scientist-analyst-for-supply-chain-accenture/python-sql/rf-9e391173a29f739fc94e
Data Engineer experto en PySpark,PANEL Sistemas Informáticos,09/03/2026 |  | Madrid (Híbrido) | Analista Programador,https://www.tecnoempleo.com/data-engineer-experto-en-pyspark-panel-sistemas-in/python/rf-8d231bffe21c1359b14c
GenAI Engineer,PANEL Sistemas Informáticos,09/03/2026 |  | 100% remoto | Analista,https://www.tecnoempleo.com/genai-engineer-panel-sistemas-informaticos/machine-learning-deep-learning/rf-26c81cf8e292833ca14b
IA Engineer,Michael Page,09/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning | 39.000€ - 54.000€ b/a | Contrato temporal,https://www.tecnoempleo.com/ia-engineer-michael-page/python-openai/rf-70b819f8b2fa939cd34a
Senior Backend Developer,Michael Page,09/03/2026 |  | Bizkaia | Programador,https://www.tecnoempleo.com/senior-backend-developer-michael-page/python-node/rf-3948139c92fce3532f43
Machine Learning Engineer,Michael Page,09/03/2026 |  | Barcelona (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/machine-learning-engineer-michael-page/python-pytorch/rf-e9bb1402828ef3999848
AI-Native Backend/API Lead,sg tech,09/03/2026 |  | Madrid (Híbrido) | Arquitecto TIC,https://www.tecnoempleo.com/ai-native-backend-api-lead-sg-tech/java-spring-boot/rf-9ddb1ff2e27ad3b71f45
Técnico/Ingeniero pruebas V&V,GMV,09/03/2026 |  | Madrid | Electrónica,https://www.tecnoempleo.com/tecnico-ingeniero-pruebas-v-v-gmv/python-java/rf-be7316aea29cb3ca344e
Ingeniero/a Software Flight Dynamics Senior,GMV,06/03/2026 |  | Madrid (Híbrido) | Ingenieros/Industria,https://www.tecnoempleo.com/ingeniero-software-flight-dynamics-senior-gmv/python-fortran/rf-5532130f6266f3793a44
Data Scientist (end client company),Michael Page,06/03/2026 |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/data-scientist-end-client-company-michael-page/power-bi-qlikview/rf-5cf21e3382f983927847
Data Scientist sector financiero,Page Personnel,06/03/2026 |  | Madrid (Híbrido) | Big Data | 36.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-scientist-sector-financiero-page-personnel/python/rf-999013cf122c03523444
Data Business Analyst,Michael Page,06/03/2026 |  | Barcelona | Analista | 42.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-business-analyst-michael-page/sql-python/rf-c8931cd4527c6311634b
Jefe de Proyecto - Plataforma Cognitiva,Cajamar Tecnología,06/03/2026 |  | Almería (Híbrido) y otras | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/jefe-proyecto-plataforma-cognitiva-cajamar-tecnolo/pmp-prince2/rf-d8f01138822f53586b41
Data Scientist para proyectos GNC,GMV,06/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-scientist-para-proyectos-gnc-gmv/python-opencv/rf-b5bc1af232f3a325fa47
Data scientist,HAYS,06/03/2026 |  | Málaga (Híbrido) | Analista,https://www.tecnoempleo.com/data-scientist-hays/python-pandas/rf-47fe1cd3326b93a61640
DevOps AWS,Sopra Steria,06/03/2026 |  | Madrid (Híbrido) | DevOps,https://www.tecnoempleo.com/devops-aws-sopra-steria/linux-amazon-web-services/rf-7e5a154e225d43d14741
Ingeniero/a de sistemas ópticos,GMV,06/03/2026 |  | Madrid (Híbrido) | Electrónica,https://www.tecnoempleo.com/ingeniero-sistemas-opticos-gmv/python-c/rf-bd111767d2a143c41f43
AI Engineer (Generative AI & Data),GFR Technologies SE,06/03/2026 |  | Madrid (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/ai-engineer-generative-ai-data-gfr-technologies-se/python-tensorflow/rf-8b5a1483929883dc0344
Ingeniero/a de Software Senior (2 vacantes),Krell Consulting & Training,06/03/2026 |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/ingeniero-software-senior-2-vacantes-krell-consult/java-python/rf-f74a1c94c21453635541
Programador/a Fullstack,HAYS,05/03/2026 |  | Gipuzkoa (Híbrido) | Programador,https://www.tecnoempleo.com/programador-fullstack-hays/html-css/rf-68cd19cfb23b0383764d
DevOps Engineer,Crypto Fund Trader,05/03/2026 |  | 100% remoto | DevOps,https://www.tecnoempleo.com/devops-engineer-crypto-fund-trader/python-bash/rf-93b41400721993a70e49
Genesys Cloud Architect / Developer,PANEL Sistemas Informáticos,05/03/2026 |  | 100% remoto | Arquitecto TIC,https://www.tecnoempleo.com/genesys-cloud-architect-developer-panel-sistemas-i/genesys-cloud-cx-genesy/rf-3ad91b496218e3ac8341
Programmer analyst TALEND,Krell Consulting & Training,05/03/2026 |  | 100% remoto | Analista Programador | Contrato temporal,https://www.tecnoempleo.com/programmer-analyst-talend-krell-consulting-trainin/etl-scrum/rf-18d01244524b63cd204f
Data Analyst,Veepee,05/03/2026 |  | Barcelona | Analista Programador,https://www.tecnoempleo.com/data-analyst-veepee/sql-dbt/rf-4a31123f129ef3139d41
Simulation Software Engineer - Eurofighter Flight,Airbus,05/03/2026 |  | Madrid | Electrónica,https://www.tecnoempleo.com/simulation-software-engineer-eurofighter-flight-ai/c-ada-95/rf-ff6a13ef521dd312d148
Ingeniero/a de Operaciones de Satélite,GMV,05/03/2026 |  | Pontevedra | Ingenieros/Industria,https://www.tecnoempleo.com/ingeniero-operaciones-satelite-gmv/stk-python/rf-447315c22219736b3241
Software Developer,Swiss Re,05/03/2026 |  | Madrid (Híbrido) | Programador,https://www.tecnoempleo.com/software-developer-swiss-re/python-api/rf-ddc31d5712f733fdee4b
BI Developer,Veepee,05/03/2026 |  | Barcelona | Analista,https://www.tecnoempleo.com/bi-developer-veepee/strategy-python/rf-29d41e04929a43af7b44
IT&Data Audit&Assurance,Deloitte,05/03/2026 |  | Bizkaia (Híbrido) | Consultor,https://www.tecnoempleo.com/it-data-audit-assurance-deloitte/python-powerapps/rf-4c7a1f2a62fa13f41541
Software Engineer for Aircraft Simulator,Airbus,04/03/2026 |  | Madrid | Ingenieros/Industria,https://www.tecnoempleo.com/software-engineer-for-aircraft-simulator-airbus/c-python/rf-aa5412dcc2ea33109642
Junior Data Analyst (Quicksight) - Hibrido Madrid,Second Window,04/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/junior-data-analyst-quicksight-hibrido-madrid-seco/amazon-quicksight-pytho/rf-d1df1fc0922eb33b1f46
Data Engineer,Second Window,04/03/2026 |  | 100% remoto | Big Data | 33.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-engineer-second-window/aws-python/rf-82141a0ce20e53d2f146
Staff Software Engineer,Affirm,04/03/2026 |  | 100% remoto | Jefe de Proyecto | 100.000€ - 130.000€ b/a,https://www.tecnoempleo.com/staff-software-engineer-affirm/python-kotlin/rf-59741ffd52b113c04a4d
Desarrollador/a fullstack senior,HAYS,04/03/2026 |  | Bizkaia | Programador,https://www.tecnoempleo.com/desarrollador-fullstack-senior-hays/python-php/rf-560810bfe25be3058d43
Senior Backend Engineer,Randstad ES,03/03/2026 |  | Barcelona | Programador,https://www.tecnoempleo.com/senior-backend-engineer-randstad-es/python-javascript/rf-8ad51249620d03ef624a
Cloud Native Application Architect,Deloitte,03/03/2026 |  | Madrid (Híbrido) | Arquitecto TIC,https://www.tecnoempleo.com/cloud-native-application-architect-deloitte/python-java/rf-4ed51fb222e143c47446
Programador Big Data. Teletrabajo,Second Window,02/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/programador-big-data-teletrabajo-second-window/spark-python-sql-ci-cd-powe/rf-054d17b2d2dbe398984d
AI PRINCIPAL Architect,Devoteam,02/03/2026 |  | Madrid | Arquitecto TIC,https://www.tecnoempleo.com/ai-principal-architect-devoteam/python-sql/rf-9e7418647262739b4c45
Lead DevOps Engineer,WayOps,02/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/lead-devops-engineer-wayops/aws-ci-cd/rf-34b81fa7528663eb8446
Backend Engineer,WayOps,02/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/backend-engineer-wayops/python-node/rf-47c3129352cff31b8249
Especialista Financiero - Análisis Funcional,sg tech,27/02/2026 |  | Madrid | Analista,https://www.tecnoempleo.com/especialista-financiero-analisis-funcional-sg-tech/python-excel/rf-27de1466c2d4932e4749
Técnicos de Software Configuradores,Invoin,27/02/2026 |  | Madrid (Híbrido) | Técnico Software,https://www.tecnoempleo.com/tecnicos-software-configuradores-hibrido/sql-python-php-jenkins-base-datos/rf-baf713c9a27893e58349
Analista Programador/Data Scientist/BI,Invoin,27/02/2026 |  | Madrid (Híbrido) | Analista Programador,https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40
Desarrollador/a Odoo,Moval Agroingeniería,27/02/2026 |  | Murcia (Híbrido) | Programador | 27.000€ - 33.000€ b/a,https://www.tecnoempleo.com/desarrollador-odoo-moval-agroingenieria/javascript-python/rf-dd4e17818225b30dd24c
Líder de Innovación en IA,GMV,27/02/2026 |  | Madrid (Híbrido) y otras | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/lider-innovacion-en-ia-gmv/python-tensorflow/rf-4c661b4bc214f35a5341
QA Automation Engineer,Michael Page,27/02/2026 |  | Málaga (Híbrido) | Tester/QA | 36.000€ - 42.000€ b/a,https://www.tecnoempleo.com/qa-automation-engineer-michael-page/java-python/rf-aff31233421d63720249
Desarrollador/a C++ / Java,GMV,27/02/2026 |  | Madrid (Híbrido) | Programador,https://www.tecnoempleo.com/desarrollador-c-java-gmv/c-python/rf-543c17065257e32e9044
Senior Data Engineer - Cliente final,Page Personnel,27/02/2026 |  | Madrid (Híbrido) | Big Data | 48.000€ - 60.000€ b/a,https://www.tecnoempleo.com/senior-data-engineer-cliente-final-page-personnel/python-sql/rf-11f715db52cff3a6b24e
Profesor Informática,Instituto Tecnológico Poniente,26/02/2026 |  | Granada (Presencial) | Formador,https://www.tecnoempleo.com/profesor-informatica-instituto-tecnologico-ponient/java-php/rf-a3881fcb5291c39bab4b
Data Manager,Deloitte,26/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-manager-deloitte/python-pyspark/rf-e540162092e753b50749
Data Analyst,Randstad ES,26/02/2026 |  | Madrid | Analista,https://www.tecnoempleo.com/data-analyst-randstad-es/python-r/rf-24a9186e726633a92745
Azure Data engineer,Devoteam,26/02/2026 |  | 100% remoto | Big Data,https://www.tecnoempleo.com/azure-data-engineer-devoteam/pyspark-spark/rf-83211c3542b973c5564c
Data Scientist,Veepee,26/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-scientist-veepee/python-sql/rf-a5e91551029c4345b942
Data Manager,Deloitte,26/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-manager-deloitte/python-sql/rf-ce7816a332c8f3e7bd4a
Data Engineer Consultant,Deloitte,26/02/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-engineer-consultant-deloitte/synapse-databricks/rf-cf70182aa2e6f37e244a
